auc,accuracy,precision,recall,f1,val_loss
0.5503472222222222,0.5416666666666666,0.5454545454545454,0.5,0.5217391304347826,0.214326411485672
0.5764705882352941,0.6595744680851063,0.7058823529411765,0.8,0.75,0.07089125365018845
0.5960144927536232,0.5319148936170213,0.5294117647058824,0.75,0.6206896551724138,0.14283528923988342
0.5324675324675325,0.48936170212765956,0.68,0.5151515151515151,0.5862068965517241,0.15925496816635132
0.6703296703296704,0.5957446808510638,0.6666666666666666,0.5384615384615384,0.5957446808510638,0.17380252480506897
0.6082251082251082,0.5531914893617021,0.7307692307692307,0.5757575757575758,0.6440677966101694,0.24169963598251343
0.287037037037037,0.3829787234042553,0.4642857142857143,0.48148148148148145,0.4727272727272727,0.17236293852329254
0.5498084291187739,0.48936170212765956,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.1953466832637787
0.6190476190476191,0.6170212765957447,0.8260869565217391,0.5757575757575758,0.6785714285714286,0.2665882408618927
0.5153256704980843,0.5319148936170213,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.12963604927062988
