ICN,Δ Accuracy,Δ AUC,Δ Precision,Δ Recall,Δ F1,Δ Val Loss,auc_mean,auc_std,auc_var,auc_min,auc_max,auc_median,accuracy_mean,accuracy_std,accuracy_var,accuracy_min,accuracy_max,accuracy_median,precision_mean,precision_std,precision_var,precision_min,precision_max,precision_median,recall_mean,recall_std,recall_var,recall_min,recall_max,recall_median,f1_mean,f1_std,f1_var,f1_min,f1_max,f1_median,val_loss_mean,val_loss_std,val_loss_var,val_loss_min,val_loss_max,val_loss_median
97,0.0024429530201343346,-0.00787273727272139,-0.003048379638908879,0.017925712136850874,0.005309781189658324,0.00989017791182476,0.675073848592964,0.0023471486353277885,5.5091067163211e-06,0.6708976044772025,0.6787556161756655,0.674832525560103,0.6620744680851065,0.003387708196199103,1.1476566822594581e-05,0.6582890070921985,0.6688386524822696,0.660372340425532,0.675956386907466,0.0024849255333872933,6.174854906480124e-06,0.6726470151197572,0.6800757060277185,0.6760845558633841,0.8570134657807073,0.0038851553598748976,1.5094432170364645e-05,0.8503389330975539,0.8628389330975539,0.8566030106547349,0.7501824500402812,0.00251081859739851,6.304210029042222e-06,0.7463082767014808,0.7549328744328914,0.7498678538194168,0.6330368638038635,0.0008391019854167559,7.040921419303415e-07,0.6312240481376648,0.6341595411300659,0.6331032931804657
46,0.0034630872483220913,-0.000393147901556766,-0.005443124654806995,0.03166058390289077,0.011093832656534573,0.0069548914934320335,0.6801631908299741,0.002066037403761405,4.268510553741167e-06,0.6773579264758491,0.6830131208740158,0.6803911040256562,0.6627482269503546,0.0025906554963191306,6.711495900608522e-06,0.6561613475177306,0.6646719858156028,0.6635859929078014,0.6743326940868205,0.0019172561101503261,3.6758709919087598e-06,0.6698145829780577,0.6760908565611927,0.6749180003030172,0.8685771485857693,0.0023409817327888867,5.480195473251259e-06,0.8630493708079914,0.8705493708079916,0.8697160374746582,0.7544986259909872,0.0017652182715003262,3.1159955460385993e-06,0.7496234852464573,0.756104360416219,0.7550306890326381,0.6311969166994095,0.0004934177696263837,2.434610953830751e-07,0.6303442358970642,0.6319436371326447,0.6311428874731064
88,0.013731543624161173,-0.002214025962982014,0.00391154534843028,0.0259947321020355,0.013705794438842034,0.006738800439625578,0.6789242094946908,0.0017244900006042785,2.9738657621841447e-06,0.6759082867011806,0.6810100954904013,0.6791127721779124,0.6695301418439717,0.004254912805658133,1.810428298375356e-05,0.6646276595744681,0.6773936170212767,0.6678413120567377,0.6806753779312077,0.002482148579900608,6.161061572702605e-06,0.6774645892002231,0.6858581278569197,0.6798040711836679,0.8638069465655672,0.0036982665937419987,1.3677175798388047e-05,0.859648697407318,0.8701790004376211,0.8624517277103483,0.7564477245931556,0.002946936902822518,8.684437109217176e-06,0.7532153244904498,0.7611338172295946,0.7552513190154817,0.6310614627599717,0.000514251904091586,2.644550208618217e-07,0.6300031006336212,0.631589126586914,0.6312191516160965
96,0.0028255033557046173,-0.007336199023880216,0.018805207749731063,-0.03630515990923862,-0.0077906779912272975,0.006228819314875817,0.6754389256895926,0.0015130809645784358,2.2894140053696095e-06,0.6731992506396114,0.6776297874363455,0.6752554850908018,0.6623271276595745,0.0027657905080100604,7.64959713419855e-06,0.6561613475177305,0.6647163120567375,0.6625664893617021,0.6907736274540446,0.002423712583731279,5.874382688537353e-06,0.6870611501234966,0.6949631711952515,0.6906376763796341,0.8113553327260223,0.005018626659522344,2.5186613547668403e-05,0.8038295867606212,0.8212088390536667,0.8123929502808813,0.7404066229779606,0.0029662463717620006,8.798617537991234e-06,0.734490619415082,0.7438676776320219,0.7413627648200285,0.6307417875528335,0.0006500755436802027,4.2259821249111114e-07,0.6298460900783539,0.6321724116802215,0.6306418240070343
2,0.009302013422818854,-0.005803200960700675,0.01756082310469443,-0.011382693268525887,0.0025385782871340237,0.005655097918844693,0.6764820246359429,0.0016524195689579398,2.730490431875144e-06,0.6728824891948569,0.6787453612272268,0.6768434015051469,0.6666046099290781,0.003061862178478924,9.374999999999703e-06,0.6625886524822695,0.671054964539007,0.6657801418439717,0.6899299057213115,0.002471824912028923,6.109918395726792e-06,0.686236394568303,0.6936894226355326,0.6907096455847666,0.8323380913467121,0.004252052116245208,1.807994719926535e-05,0.8256335458921665,0.8369971822558029,0.8328305155891362,0.7481145225000614,0.002589147078962897,6.7036825965021015e-06,0.7442772234630237,0.751871080124975,0.7477732502856635,0.6303821575641632,0.0007403523223636176,5.481215612292019e-07,0.6288425326347351,0.6313117742538452,0.6304828524589539
102,0.006953020134228284,-0.007785087848892182,0.010572929887043366,-0.0016953116132434334,0.0031262647308041534,0.005268216637155024,0.6751334879518389,0.001422834675987806,2.024458515193325e-06,0.6730554437635364,0.6773887799065834,0.6752539509314108,0.6650531914893618,0.002283485575369111,5.214306372918799e-06,0.660372340425532,0.6688386524822695,0.6646498226950355,0.6851919515868995,0.0021324081008478935,4.547164308561719e-06,0.6808725522403614,0.6884527028471721,0.6852776112410774,0.8404941055113468,0.003334983688172665,1.112211620037775e-05,0.8362088390536666,0.8468540846127052,0.8406419634005841,0.7485530659862754,0.0017440874440208876,3.0418410123913126e-06,0.7461117550789199,0.7520739344170584,0.7485555222964209,0.6301396459341049,0.0006844011918277596,4.6840499137525776e-07,0.6291925072669983,0.6312287092208863,0.630197012424469
3,0.005704697986577268,-0.006342743683278906,0.0037881764876083654,0.013227319450381777,0.0066742948324249336,0.0050110523654109404,0.676114903203144,0.0011677031319040601,1.363530604258551e-06,0.6747329488638247,0.6786042815345443,0.675734432712575,0.6642287234042554,0.0037528387390986903,1.4083798601679847e-05,0.6582890070921986,0.6730939716312057,0.6646276595744681,0.6805917309741087,0.002508377935786384,6.291959868739962e-06,0.677555742073544,0.6868006915684934,0.6802196832869893,0.8530577883164089,0.003951757986589392,1.5616391184573047e-05,0.8475274852861059,0.8607850610436817,0.853588091346712,0.7512006776620523,0.002833626338491507,8.029438226192785e-06,0.7467479645740754,0.757710652210669,0.7506271387300822,0.6299784457683563,0.0005028234336427633,2.528314054202984e-07,0.6291343867778778,0.6305349051952363,0.6299968242645264
40,0.014073825503355893,-0.008173193422570616,0.007274585324047306,0.01733848631205773,0.011694399202027498,0.004715248175062698,0.6748694090043829,0.0015649434556901272,2.449048019507357e-06,0.6722052436982932,0.6774060074614576,0.675195092482276,0.669756205673759,0.00477268482911819,2.277852047809493e-05,0.6625,0.6773936170212768,0.6710328014184398,0.682955597256314,0.003336978542099717,1.1135425790433954e-05,0.678364622355771,0.6886620145134077,0.6827695592475017,0.8565190677776885,0.003849319880775881,1.4817263544536442e-05,0.8497917950504157,0.8622160374746581,0.8558524011110218,0.7549467808691551,0.0032777764959869664,1.0743818757644594e-05,0.7496043674304783,0.7594019109390622,0.7560660839404828,0.6297930246591568,0.00045057606659690367,2.0301879178993738e-07,0.6291200399398804,0.6305728793144226,0.6296422690153122
13,0.009563758389261776,-0.002600764916309574,0.000996354200425595,0.024169343400965753,0.011595112369908204,0.003930436397829188,0.6786610604376777,0.0010024442674561784,1.004894509355754e-06,0.6770420305022673,0.6805313797480215,0.678778738026977,0.6667774822695036,0.002841533333568426,8.074311685780493e-06,0.6625443262411347,0.6710549645390071,0.6667553191489362,0.6786988105278304,0.0018414114400986878,3.3907960917263232e-06,0.6750297799875988,0.6810516247577336,0.67913378588879,0.8622701127097677,0.004178692898461949,1.746147433965633e-05,0.8562703739427878,0.8698309800033938,0.8619521921246058,0.7548726910310081,0.002266947294823709,5.139050037508533e-06,0.7520916353909523,0.7586625803937829,0.7546435075542555,0.6293010753393173,0.000562236278412744,3.161096327634125e-07,0.6284011840820313,0.6301849901676178,0.629295179247856
19,0.01693959731543624,-0.0019468695146354663,0.007103057837850953,0.030043911525621952,0.01713393115728281,0.0038775228347183647,0.6791059909440443,0.0012161946343755797,1.4791293886839501e-06,0.6772377809800643,0.6806989288899621,0.6792291811418828,0.6716489361702128,0.0019148936170212982,3.6668175645089105e-06,0.6688829787234042,0.6752659574468086,0.6710106382978724,0.6828392976310799,0.0018127890047015022,3.2862039755666626e-06,0.6795220798781171,0.6865445984815179,0.6825227762224666,0.8672160374746583,0.0016318681233740884,2.662993572084469e-06,0.8644887647473855,0.8705493708079916,0.8675190677776884,0.7590058694064584,0.0012808163250540695,1.6404904585250117e-06,0.7568786233050608,0.7611243355171124,0.7588588020124005,0.6292679071426391,0.0006993803992943207,4.891329429170834e-07,0.6281367838382721,0.6304456651210785,0.6291907757520676
