auc,accuracy,precision,recall,f1,val_loss
0.5989583333333334,0.5833333333333334,0.5625,0.75,0.6428571428571429,0.7299118687709173
0.5254901960784314,0.6595744680851063,0.6944444444444444,0.8333333333333334,0.7575757575757576,0.7392871424238733
0.6847826086956521,0.574468085106383,0.55,0.9166666666666666,0.6875,0.6899516899534996
0.6861471861471862,0.6808510638297872,0.75,0.8181818181818182,0.782608695652174,0.5746918441133296
0.6959706959706959,0.6170212765957447,0.6052631578947368,0.8846153846153846,0.71875,0.6613706705418039
0.6883116883116883,0.723404255319149,0.7272727272727273,0.9696969696969697,0.8311688311688312,0.5641701719228257
0.6462962962962963,0.5531914893617021,0.6153846153846154,0.5925925925925926,0.6037735849056604,0.6488887135018694
0.8045977011494252,0.8085106382978723,0.7941176470588235,0.9310344827586207,0.8571428571428571,0.5270701659486648
0.6883116883116883,0.6808510638297872,0.78125,0.7575757575757576,0.7692307692307693,0.5797374159731763
0.7854406130268199,0.723404255319149,0.7,0.9655172413793104,0.8115942028985508,0.5532936276273525
