Region,Δ Accuracy,Δ AUC,Δ Precision,Δ Recall,Δ F1,Δ Val Loss
24,-0.029519519519519654,-0.0077005917130897475,0.0826333334296807,-0.32487246190761054,-0.1944449097323744,-0.006659536180376364
65,-0.037432432432432314,0.0002372773918680862,0.05420542442298887,-0.175980131191274,-0.12348394484347645,-0.0009337079148658421
67,0.0014039039039038315,-0.007992126508993173,0.010168852419134088,-0.035024868505332575,-0.026231167277303534,-0.0007171213817684952
78,-0.026891891891891687,-0.0005818889164806375,0.06574903186439507,-0.20797595021948348,-0.1460899864191647,-0.0005429285533026912
25,0.025337837837837857,-0.018671405618502092,0.0007675623688512659,0.010480011012411227,0.015157536602359935,0.00044185994502649425
66,-0.04531531531531508,-0.011606458419585713,0.04203281999448693,-0.20820840826413026,-0.14743507286439386,0.0027923429946015367
68,0.026906906906906912,0.007001488963057962,0.009598478765691879,0.03920150995026426,0.004659362662914086,0.002874539668041164
64,-0.009414414414414327,0.0013819766412518921,0.036206292701915506,-0.09032594837757194,-0.05817318557425924,0.0037373361614041435
76,-0.02942942942942924,-0.008185162815007424,-0.04997181079192339,-0.1861212573409618,-0.1296675029024062,0.004059695657940511
77,-0.036659159159159106,-0.013714255934101477,-0.0018654789774524667,-0.23040962640435672,-0.15482270712329227,0.006634170009951078
79,-0.017012012012011763,-0.0034159977841436945,0.06378321762588307,-0.1441780260778368,-0.09840180531173129,0.006846225088972496
61,-0.016666666666666656,-0.002936945223307737,0.06230457592561765,-0.16611919116695792,-0.09612216243123305,0.007550250972292422
62,0.026171171171171397,0.0034229471135305955,0.05026365472539388,-0.04114853885198433,-0.010863125092528098,0.01062692244940152
63,0.014632132132132197,-0.0003140211629826274,0.02881454559007123,-0.007937943527854555,-0.004214234268690689,0.0135542825147045
75,-0.03910660660660644,-0.014552084297535125,-0.07294657831299624,-0.18391888623792746,-0.1337440481868522,0.014957573708803965
104,0.015390390390390361,7.510450922492014e-05,-0.00676084697625245,0.08391991663109138,0.04370850384254486,0.01687227853038394
74,-0.02447447447447462,-0.004567268338454564,-0.07634218250741265,-0.09173054599186815,-0.09252831377071881,0.016944225971177448
60,-0.07015765765765765,-0.0022178878384008648,0.07605299137333228,-0.33255593199701444,-0.23718278002758753,0.018428331490647504
