Node,Δ Accuracy,Δ AUC,Δ Precision,Δ Recall,Δ F1,Δ Val Loss
104,-0.015781686667762435,-0.003726680003926534,-0.005667220979140427,-0.02141374504696508,-0.014904792625039747,5.129930183176143
68,-0.039372020384678554,-0.012432407419605229,-0.029032620654722622,-0.028071223475027992,-0.02613570360939114,5.071029218456073
3,-0.011836265000822084,-0.010232473371192449,-0.004519806110029881,-0.010547290490165452,-0.0072814307339726485,5.051329681187178
21,-0.007890843333881115,-0.0110348399206379,-0.004234515823517098,-0.006277794903878405,-0.006076731108567011,5.050670885420079
91,-0.01578168666776264,-0.008999229829107938,-0.009372145989723015,-0.019498497682416547,-0.01588101580823331,5.041142298901786
11,-0.007808647049153474,-0.00633955906468769,-0.0033245271791888203,-0.011216723596029425,-0.0063672236969184665,5.033981736025321
102,8.219628472805266e-05,-0.007878305143066915,-0.001551159250045014,0.005514708782699457,0.002110688530943551,5.033962003827405
83,-0.0038632253822127108,-6.067926837375101e-05,-0.0013085411423220173,0.0008966346448235239,-0.00046157160044627904,5.032231374251723
77,-0.007808647049153268,0.002261224140991597,-0.00553019270673842,0.0,-0.0033543491737045984,5.027914314326385
88,-0.011918461285549724,-0.0006233652350385729,-0.0005162527474470103,-0.027645258155870378,-0.013991868963728922,5.025309917228926
89,-0.007808647049153268,-0.0010503371171331239,-0.00434184513351079,-0.007056734042491615,-0.005513660482131493,5.023096713045773
8,0.00789084333388132,-0.0026262341374281898,0.008738367639291277,-0.007090543795313033,0.0025109892877113816,5.021867194585898
76,8.219628472805266e-05,0.0009910984794343392,0.0019066165569004065,-0.006038121322766606,-0.0017535161664677978,5.021415007685247
86,-0.01569949038303459,0.008548555695798137,-0.007468418567829488,-0.016121842535358838,-0.01311748817534892,5.014597035923608
45,0.0,0.004527190287798949,0.002527078659059456,-0.01100646449987215,-0.0031058937467021244,5.014232344141764
93,8.219628472805266e-05,-0.00256817568597191,-0.0016025055318322256,0.013789420387386293,0.006003004073792535,5.011894560338195
55,-0.01175406871609403,-0.007854631561948603,-0.010144442656604195,-0.012108962972986241,-0.011143589240841304,5.0114615880356865
64,-0.01167187243136598,-0.000864003548710995,-0.0042572604127159444,-0.01749451849990783,-0.012612005526777204,5.011272967092398
22,-0.023672530001643963,-0.0056912028855638725,-0.014750010704478065,-0.01701847718018255,-0.016056119754362705,5.010972478020711
10,-0.0038632253822127108,0.004651291462515173,-0.0021965783525303615,-0.0011330023834371912,-0.002147777141637859,5.009886132934822
24,-0.02359033371691591,-0.006268119198529296,-0.011326903338586103,-0.02678134383849951,-0.020990014012245057,5.009841969525003
78,-0.011836265000821878,-0.0024742127453303477,-0.006118251111790184,-0.025671181821412425,-0.017328438777721646,5.009745851312365
60,-0.015617294098306742,-0.007571349080295991,-0.004043341310777372,-0.022815835496468782,-0.014741747435781808,5.0088697717292705
31,0.011836265000822084,-0.005384313839467761,0.007963538999372539,0.01133002383437322,0.009999087555279704,5.007207857426962
63,-0.00789084333388132,-0.0008549517149838463,-0.0067883866290805485,-0.007486493567243788,-0.0060975121069320815,5.006798574241957
39,-0.015781686667762435,-0.003433343870759884,-0.00484609106150038,-0.02079059373607496,-0.013664129805009199,5.0058657137899445
44,-0.007808647049153474,-0.00534521942324299,-0.004364648782341805,-0.021607136833103772,-0.012458661442125337,5.005455900802417
